quarter,region,revenue,expenses,units_sold
Q1 2024,North,1125000,812000,4100
Q1 2024,South,987000,734000,3650
Q1 2024,East,1342000,945000,4820
Q1 2024,West,1567000,1102000,5430
Q2 2024,North,1284000,891000,4590
Q2 2024,South,1053000,768000,3890
Q2 2024,East,1478000,1023000,5210
Q2 2024,West,1712000,1187000,5870
Q3 2024,North,1398000,952000,4980
Q3 2024,South,1176000,841000,4230
Q3 2024,East,1589000,1098000,5540
Q3 2024,West,1834000,1256000,6210
Q4 2024,North,1521000,1034000,5320
Q4 2024,South,1312000,923000,4670
Q4 2024,East,1743000,1187000,5980
Q4 2024,West,2015000,1378000,6740
Q1 2025,North,1250000,890000,4500
Q1 2025,South,1089000,798000,3920
Q1 2025,East,1467000,1045000,5180
Q1 2025,West,1698000,1198000,5760
Q2 2025,North,1374000,967000,4870
Q2 2025,South,1198000,856000,4310
Q2 2025,East,1612000,1123000,5590
Q2 2025,West,1879000,1312000,6380
